,text_id,text,task_1,task_2,task_3,clean_tweets,label
0,hasoc_en_1,"#DhoniKeepsTheGlove | WATCH: Sports Minister Kiren Rijiju issues statement backing MS Dhoni over 'Balidaan Badge', tells BCCI to take up the matter with ICC and keep government in the know as nation's pride is involved    https://t.co/zuo5335Rjr",NOT,NONE,NONE,"#dhonikeepstheglov | watch: sport minist kiren rijiju issu statement back ms dhoni over 'balidaan badge', tell bcci to take up the matter with icc and keep govern in the know as nation' pride is involv",0
1,hasoc_en_2,@politico No. We should remember very clearly that #Individual1 just admitted to treason . #TrumpIsATraitor  #McCainsAHero #JohnMcCainDay,HOF,HATE,TIN,no. we should rememb veri clearli that #individual1 just admit to treason . #trumpisatraitor #mccainsahero #johnmccainday,2
2,hasoc_en_3,@cricketworldcup Guess who would be the winner of this #CWC19?     Team who gets maximum points from the abandoned matches 😄 #ShameOnICC #WIvsENG @ICC,NOT,NONE,NONE,guess who would be the winner of thi #cwc19? team who get maximum point from the abandon match 😄 #shameonicc #wivseng,0
3,hasoc_en_4,Corbyn is too politically intellectual for #BorisJohnsonShouldNotBePM   Can't wait   #GeneralElectionNow https://t.co/pt8KmjfxJj,NOT,NONE,NONE,corbyn is too polit intellectu for #borisjohnsonshouldnotbepm can't wait #generalelectionnow,0
4,hasoc_en_5,All the best to #TeamIndia for another swimming competition on Sunday against #Pakistan.     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/MG2cIE0zib,NOT,NONE,NONE,all the best to #teamindia for anoth swim competit on sunday against #pakistan. #indvpak #shameonicc #cwc19 #cwc19rain ☔☔,0
5,hasoc_en_6,"@kellymiller513 @TheRealOJ32 I hope you remembered to wipe the blood off of you, after the pic was taken.  #bloodonhishands #murderer",NOT,NONE,NONE,"i hope you rememb to wipe the blood off of you, after the pic wa taken. #bloodonhishand #murder",0
6,hasoc_en_7,@ICC Latest design of #WC2019 trophy. #CWC2019 #CWC19 #ShameOnICC https://t.co/g3mRuphBzE,NOT,NONE,NONE,latest design of #wc2019 trophy. #cwc2019 #cwc19 #shameonicc,0
7,hasoc_en_8,#ADOS #trendingnow #blacklivesmatter #justice #fucktrump  ‘Central Park Five’ Prosecutor Elizabeth Lederer Out at Columbia Law School https://t.co/7S1Lu7wi53,HOF,PRFN,TIN,#ado #trendingnow #blacklivesmatt #justic #fucktrump ‘central park five’ prosecutor elizabeth leder out at columbia law school,4
8,hasoc_en_9,"Thanks for your support! Wow 600k. Graffiti has a massive impact nowadays, do not forget to show your own opinion!     #AllColorsAreBeautiful   #PowerToThePeople  #FuckRacism   #FuckTrump   #MakeLoveNotWar… https://t.co/4hc5UiDgLj",NOT,NONE,NONE,"thank for your support! wow 600k. graffiti ha a massiv impact nowadays, do not forget to show your own opinion! #allcolorsarebeauti #powertothepeopl #fuckrac #fucktrump #makelovenotwar…",0
9,hasoc_en_10,By wearing the #BalidaanBadge over his gloves @msdhoni has shown his love &amp; respect for the forces.     @icc should understand that this is not related to any political/religious/racial activities    This is about our #NationalPride    #DhoniKeepsTheGlove,NOT,NONE,NONE,by wear the #balidaanbadg over hi glove ha shown hi love &amp; respect for the forces. should understand that thi is not relat to ani political/religious/raci activ thi is about our #nationalprid #dhonikeepstheglov,0
